Nome,Cognome,Ruolo,padiglione,reparto,piano reparto,Numero di telefono,Abitazione,data di nascita,tessera_sanitaria
Davide,COLOMBO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Stella n^100,16/7/1992,dvdclmbf167199218
Federica,DAMNOTTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Smeralda n^71,30/10/1987,fdrcdmnttf3010198733
Paolo,DONATO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Esmeralda n^87,20/9/1992,pldntf209199292
Jessica,FACCHIN,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Tyson n^18,19/10/1986,jsscfcchnf1910198657
Sara,FRACON,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Vera n^92,11/9/1991,srfrcnf119199151
Tania,GENOVESE,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Sakura n^57,17/1/1988,tngnvsf171198833
Francesca,GROSSI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Enrica n^78,21/5/1991,frncscgrssf215199174
Simona,GUANI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Guido n^27,21/5/1982,smngnf215198285
Stefania,GUIDO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Ruben n^91,24/6/1989,stfngdf24619892
Petra,Angelika,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Yuma n^29,14/9/2000,ptrnglkf149200095
Maria,Cristina,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Adamo n^54,27/6/1980,mrcrstnf276198046
Calogero,MENDOLA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Alvina n^62,2/11/1993,clgrmndlf211199312
Grazia,MENEGHETTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Mainard n^56,26/12/1986,grzmnghttf2612198622
Claudia,MONTAGNINI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Ilia n^100,19/9/1980,cldmntgnnf199198023
Paola,MONTAGUTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Olimpia n^81,8/8/1986,plmntgtf88198636
Elena,PAOLETTI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Romolo n^41,11/5/1997,lnplttf115199749
Raffaella,PERUCC,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Sunna n^90,16/5/1989,rffllprccf165198947
Tizian,PICIUCCO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Dante n^37,1/5/2000,tznpcccf15200081
Stefania,RAFFA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Giulio n^24,23/5/1982,stfnrfff235198299
Alba,RIPOLL,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Daria n^74,15/7/1995,lbrpllf157199560
Corrado,ROSSITTO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Alcina n^65,18/1/1989,crrdrssttf181198925
Andrea,SALA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Folco n^5,26/4/1989,ndrslf264198941
Luminita,Ioana,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Doriana n^67,9/6/1983,lmntnf96198312
Roberto,Luigi,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Bernardo n^25,6/12/1999,rbrtlgf612199998
Valeria,VIARENGO,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Gail n^95,20/12/1997,vlrvrngf201219971
Gianluca,VIGNAZIA,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Cecilia n^8,25/8/1986,gnlcvgnzf258198616
Marta,ZANONI,Equip,b,ANESTESIA E RIANIMAZIONE 1,0,393887370106,via Mercedes n^85,21/3/1980,mrtznnf213198096
Carolina,MONACO,Capo reparto,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Giada n^15,30/2/1994,crlnmncf302199488
Riccardo,BOSSO,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Iris n^4,25/9/1997,rccrdbssf259199767
Barbara,GIAMUNDO,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Ambra n^81,15/2/1987,brbrgmndf152198770
Massimiliano,MONTOLI,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Clio n^66,24/1/1988,mssmlnmntlf24119885
Daniele,PIERELLI,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Salvatore n^48,26/9/1999,dnlprllf269199977
Arianna,BOGGERO,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Morgan n^25,26/6/2000,rnnbggrf266200046
Diego,NOCERINO,Equip,b,ANESTESIA E RIANIMAZIONE 2,0,393887370106,via Isotta n^37,22/2/1981,dgncrnf222198130
Umberto,DIANZANI,Capo reparto,b,BIOCHIMICA CLINICA,-1,393887370106,via Delizia n^86,29/6/1981,mbrtdnznf296198110
Patrizia,NOTARI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Luce n^96,28/8/1998,ptrzntrf288199877
Matteo,VIDALI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Ursula n^67,27/12/1998,mttvdlf2712199821
Vessellina,KRUOMOVA,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Lupo n^67,25/4/1999,vssllnkrmvf254199972
Giuseppina,ANTONINI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Medea n^35,20/2/1985,gsppnntnnf20219853
Ilaria,CRESPI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Caterina n^8,28/7/1982,lrcrspf287198230
Luisa,DI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Shaina n^100,7/3/1982,lsdf73198246
Lucia,FRANCHINI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Viridiana n^58,9/12/1986,lcfrnchnf912198624
Roberta,Rolla,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Anastasia n^39,18/3/1997,rbrtrllf183199780
Marco,Bagnati,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Marilyn n^53,5/12/1994,mrcbgntf512199447
Patrizia,PERGOLONI,Equip,b,BIOCHIMICA CLINICA,-1,393887370106,via Altair n^73,18/7/1986,ptrzprglnf187198672
Giovanni,CASALI,Capo reparto,b,CARDIOCHIRURGIA,2,393887370106,via Iris n^67,1/8/1984,gvnncslf18198496
Massimo,BERNARDI,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Ugo n^17,4/11/1991,mssmbrnrdf411199179
Mario,COMMODO,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Altair n^4,27/3/1988,mrcmmdf273198886
Alina,GALLO,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Pirro n^80,8/12/1981,lngllf812198133
Marco,LANFRANCHI,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Milena n^6,19/8/1993,mrclnfrnchf198199346
Rosario,PATANE’,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Ariele n^42,2/6/1995,rsrptn’f26199526
Thomas,TOSCANO,Equip,b,CARDIOCHIRURGIA,2,393887370106,via Vanessa n^13,21/1/1992,thmstscnf211199284
Lidia,ROSSI,Capo reparto,b,CARDIOLOGIA 2,-1,393887370106,via Marilena n^30,21/5/1991,ldrssf215199188
Luisa,AIROLDI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Ludmilla n^71,11/8/1987,lsrldf118198780
Sara,BACCHINI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Tiziano n^67,7/10/1980,srbcchnf710198087
Virginia,BOLZANI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Joel n^58,18/12/1987,vrgnblznf1812198725
Alberto,IMBRICI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Terenzio n^70,13/1/1990,lbrtmbrcf131199028
Filippo,LORIA,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Freya n^63,16/9/1999,flpplrf169199993
Maria,Domenica,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Enzo n^88,12/11/1985,mrdmncf121119858
Andrea,ROGNONI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Rosalinda n^92,30/5/1997,ndrrgnnf305199745
Lidia,ROSSI,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Gerda n^9,10/5/1981,ldrssf105198142
Roberta,ROSSO,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Amarilli n^10,16/5/1980,rbrtrssf165198086
Alessia,VEIA,Equip,b,CARDIOLOGIA 2,-1,393887370106,via Vida n^59,16/7/2000,lssvf167200022
Paolo,VALLETTI,Capo reparto,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Pia n^24,5/8/1986,plvllttf58198695
Matteo,BRUCOLI,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Elio n^18,10/11/1995,mttbrclf1011199527
Nicola,BARAGIOTTA,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Jael n^88,22/4/1980,nclbrgttf224198073
Paolo,BOFFANO,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Dalila n^35,15/8/1982,plbffnf158198229
Fabrizio,GRIVETTO,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Federico n^80,5/4/1987,fbrzgrvttf54198710
Giuseppe,POGLIO,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Augusta n^64,7/6/1981,gspppglf76198172
Amedeo,TAVOLACCINI,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Alma n^60,14/5/1991,mdtvlccnf145199188
Medico,specialista,Equip,b,CHIRURGIA MAXILLO-FACCIALE,3,393887370106,via Marcello n^85,18/9/1985,mdcspclstf189198582
Ottavio,RENA,Capo reparto,b,CHIRURGIA TORACICA,2,393887370106,via Linnea n^93,18/4/2000,ttvrnf184200030
Guido,BAIETTO,Equip,b,CHIRURGIA TORACICA,2,393887370106,via Savino n^57,27/1/1997,gdbttf271199713
Maria,Giovanna,Equip,b,CHIRURGIA TORACICA,2,393887370106,via Fernanda n^19,19/2/1983,mrgvnnf192198395
Ester,PAPALIA,Equip,b,CHIRURGIA TORACICA,2,393887370106,via Eros n^49,14/6/1984,strpplf146198433
Christian,COSSANDI,Capo reparto,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Amaranta n^81,29/6/1986,chrstncssndf29619866
Giuliano,ALLEGRA,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Rhoda n^3,8/8/1987,glnllgrf88198713
Fabiola,BENVENUTO,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Alia n^37,5/3/1992,fblbnvntf53199255
Andrea,BIANCO,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Mirta n^66,9/6/1988,ndrbncf96198830
Piergiorgio,CAR,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Federica n^31,20/10/1991,prgrgcrf2010199171
Sara,FORGNONE,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Dorotea n^39,6/11/1992,srfrgnnf611199280
Lucia,VALCAUDA,Equip,b,NEUROCHIRURGIA "ENRICO GEUNA",1,393887370106,via Silvestro n^45,3/8/1994,lcvlcdf38199497
Paolo,VALLETTI,Capo reparto,b,OTORINOLARINGOIATRIA,3,393887370106,via Eden n^14,29/2/1986,plvllttf292198612
Giovanni,BORELLO,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Fermo n^22,27/8/1989,gvnnbrllf278198921
Filippo,FARRI,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Mizar n^24,13/4/1992,flppfrrf134199289
Massimiliano,PINO,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Vedia n^40,18/2/1981,mssmlnpnf182198130
Mario,POLICARPO,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Ilva n^60,14/9/1994,mrplcrpf149199484
Massimiliano,GARZARO,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Angelo n^94,10/3/1980,mssmlngrzrf103198071
Fausto,TARANTO,Equip,b,OTORINOLARINGOIATRIA,3,393887370106,via Vittore n^87,27/3/1994,fsttrntf273199486
Andrea,TOSO,Equip,b,OTORINOLARINGOIATRIA,3,393872814202,via Ediardo n^76,25/6/1996,ndrtsf256199676
Alessandro,VOLPE,Capo reparto,b,UROLOGIA,4,393872814202,via Remigio n^41,5/11/1991,lssndrvlpf511199143
Michele,BILLIA,Equip,b,UROLOGIA,4,393872814202,via Selvaggia n^8,5/6/1988,mchlbllf56198859
Giovanni,CERATTI,Equip,b,UROLOGIA,4,393872814202,via Marlow n^26,13/5/1998,gvnncrttf135199874
Michele,FAVRO,Equip,b,UROLOGIA,4,393872814202,via Orlando n^11,14/10/1986,mchlfvrf1410198643
Giansilvio,MARCHIORO,Equip,b,UROLOGIA,4,393872814202,via Agnese n^73,8/12/1983,gnslvmrchrf812198368
Filippo,SOGNI,Equip,b,UROLOGIA,4,393872814202,via Teo n^35,22/11/1999,flppsgnf2211199936
Paolo,UMARI,Equip,b,UROLOGIA,4,393872814202,via Alvaro n^10,23/11/1988,plmrf2311198852
Monica,ZACCHERO,Equip,b,UROLOGIA,4,393872814202,via Athos n^87,8/7/1987,mnczcchrf87198780
Sergio,GENTILLI,Capo reparto,c,CHIRURGIA GENERALE 1,2,393872814202,via Fatima n^23,16/6/1985,srggntllf16619857
